('http://www.cs.jhu.edu/~yarowsky/', 'David Yarowsky')
('http://www.cs.jhu.edu/~yarowsky/466.officehours.html', 'TA/CA Office Hours and Contact Information')
('http://www.cs.jhu.edu/~yarowsky/601.466.on.exam.txt', 'Topics on Exam')
('http://www.cs.jhu.edu/~yarowsky/cs466slides/', 'Link to Course Slides (except Weka or textbook slides, below)')
('https://docs.google.com/forms/d/e/1FAIpQLScFuXQ_JOXwq5neRymTAVp_EFC_R2P0LEzlE4a1AQ3WFbtf1w/viewform', 'Class Survey')
('https://piazza.com/class/jrglchsr9rv310', 'Class Piazza Link')
('http://www.cs.jhu.edu/~yarowsky/cs466.pdf', 'PDF version')
('http://nlp.stanford.edu/IR-book/information-retrieval-book.html', 'Introduction to Information Retrieval')
('http://www.sims.berkeley.edu/~hearst/irbook/', '')
('http://www.oreilly.com/openbook/webclient/', 'Web Client Programming')
('http://HTTP.CS.Berkeley.EDU/~fccheong/book/book.html', '')
('http://www.cs.jhu.edu/~yarowsky/466.survey.pdf', 'PDF version')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw1.pdf', 'Homework #1 (Due 2/21/19)')
('http://www.cs.jhu.edu/~yarowsky/hw1a-py.txt', 'Homework #1 (hw1a.py)')
('http://www.cs.jhu.edu/~yarowsky/hw1b-py.txt', 'Homework #1 (hw1b.py)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw2.pdf', 'Homework #2 (Due 3/15/19)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw3.pdf', 'Homework #3 (Due 4/05/19)')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw4.pdf', 'Homework #4 (Due 4/12/19)')
('http://www.cs.jhu.edu/~yarowsky/601.466.pr.pdf', 'Final Project')
('http://www.perl.com/perl/index.html', 'Perl resources')
('http://www.cs.jhu.edu/~yarowsky/perl4.txt', 'Perl Tutorial')
('http://prdownloads.sourceforge.net/weka/weka.ppt', 'Weka overview presentation from class')
('http://www.cs.waikato.ac.nz/ml/weka/index.html', 'Weka download and documentation page')
('http://kvtr.elte.hu/harvest/user-manual.html', 'Harvest User Manual (HTML mirror)')
('http://citeseer.nj.nec.com/hardy95harvest.html', 'Harvest User Manual (PS + PDF via Citeseer)')
('http://www.w3.org/pub/WWW/Protocols/', 'HTTP - WWW protocols')
